Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
13906, 0.168, 0.284, -0.924, -0.924, 0.412, -0.584
13942, 0.176, 0.280, -0.932, -0.924, 0.412, -0.592
13977, 0.172, 0.280, -0.924, -0.924, 0.408, -0.588
14013, 0.172, 0.280, -0.928, -0.924, 0.408, -0.588
14048, 0.172, 0.280, -0.924, -0.920, 0.408, -0.588
14082, 0.176, 0.280, -0.924, -0.928, 0.412, -0.588
14118, 0.176, 0.280, -0.928, -0.920, 0.408, -0.596
14153, 0.172, 0.280, -0.928, -0.920, 0.408, -0.584
14189, 0.176, 0.276, -0.924, -0.924, 0.408, -0.584
14224, 0.176, 0.280, -0.928, -0.928, 0.412, -0.584
14259, 0.176, 0.280, -0.932, -0.924, 0.408, -0.592
14294, 0.168, 0.280, -0.928, -0.928, 0.412, -0.588
14329, 0.172, 0.284, -0.928, -0.924, 0.408, -0.592
14365, 0.172, 0.284, -0.932, -0.928, 0.408, -0.588
14400, 0.172, 0.280, -0.928, -0.920, 0.408, -0.588
14435, 0.172, 0.280, -0.924, -0.924, 0.408, -0.592
14471, 0.176, 0.280, -0.924, -0.924, 0.408, -0.588
14505, 0.176, 0.280, -0.928, -0.920, 0.408, -0.588
14541, 0.168, 0.284, -0.924, -0.928, 0.408, -0.588
14576, 0.172, 0.280, -0.928, -0.924, 0.404, -0.588
